ga:cityId,ga:dimension5
1014193,small town
1014194,small town
1014195,town
1014197,city
1014199,large town
1014201,town
1014203,large town
1014204,city
1014205,small town
1014208,city
1014210,city
1014212,small town
1014214,city
1014215,town
1014216,town
1014217,large town
1014218,major city
1014219,town
1014220,town
1014221,major city
1014222,town
1014224,town
1014225,small town
1014226,major city
1014227,small town
1014228,town
1014229,large town
1014232,town
1014234,large town
1014235,small town
1014237,large town
1014239,town
1014242,large town
1014243,large town
1014246,town
1014247,city
1014248,large town
1014249,city
1014250,city
1014251,large town
1014252,small town
1014254,large town
1014255,large town
1014256,town
1014257,city
1014259,large town
1014260,town
1014261,small town
1014262,small town
1014263,town
1014264,town
1014265,small town
1014266,town
1014268,town
1014271,small town
1014276,small town
1014279,city
1014284,small town
1014285,town
1014286,small town
1014288,small town
1014289,small town
1014291,town
1014292,large town
1014293,town
1014294,town
1014295,large town
1014300,small town
1014302,town
1014306,city
1014310,town
1014315,city
1014318,small town
1014320,small town
1014322,small town
1014326,small town
1014327,large town
1014328,town
1014332,city
1014339,city
1014341,large town
1014346,small town
1014348,large town
1014349,small town
1014351,large town
1014352,large town
1014354,town
1014356,small town
1014357,large town
1014359,large town
1014361,large town
1014363,city
1014369,large town
1014370,city
1014372,small town
1014373,city
1014374,large town
1014376,town
1014377,large town
1014379,town
1014381,small town
1014382,large town
1014385,small town
1014388,large town
1014390,town
1014391,large town
1014392,small town
1014394,large town
1014395,small town
1014397,small town
1014399,large town
1014400,town
1014401,small town
1014402,small town
1014404,small town
1014408,town
1014411,small town
1014414,small town
1014415,large town
1014420,large town
1014422,small town
1014423,small town
1014424,large town
1014425,large town
1014426,town
1014428,small town
1014429,small town
1014431,small town
1014434,large town
1014435,small town
1014436,small town
1014437,city
1014439,small town
1014441,small town
1014442,small town
1014444,small town
1014445,small town
1014446,small town
1014447,small town
1014448,large town
1014449,small town
1014451,town
1014452,large town
1014453,small town
1014454,small town
1014456,small town
1014458,small town
1014459,small town
1014461,small town
1014462,large town
1014463,small town
1014464,small town
1014465,small town
1014466,small town
1014467,small town
1014469,small town
1014470,small town
1014471,city
1014472,large town
1014474,small town
1014475,small town
1014476,small town
1014478,small town
1014479,small town
1014480,small town
1014481,small town
1014482,small town
1014483,small town
1014484,small town
1014485,major city
1014486,small town
1014487,small town
1014489,small town
1014490,small town
1014493,town
1014494,small town
1014496,small town
1014501,small town
1014502,small town
1014503,town
1014504,town
1014505,small town
1014507,small town
1014508,small town
1014509,small town
1014510,small town
1014512,town
1014514,small town
1014515,small town
1014516,small town
1014517,city
1014518,small town
1014519,small town
1014520,small town
1014521,small town
1014523,small town
1014524,town
1014525,small town
1014526,large town
1014527,small town
1014529,large town
1014530,small town
1014532,small town
1014533,small town
1014534,small town
1014535,small town
1014536,small town
1014538,small town
1014539,small town
1014540,small town
1014541,small town
1014542,small town
1014544,small town
1014546,small town
1014548,small town
1014551,small town
1014552,small town
1014553,small town
1014554,small town
1014555,small town
1014557,small town
1014558,small town
1014559,small town
1014560,small town
1014561,town
1014562,small town
1014564,small town
1014565,small town
1014566,small town
1014567,small town
1014568,town
1014570,large town
1014571,town
1014573,large town
1014574,small town
1014575,small town
1014576,small town
1014577,small town
1014578,small town
1014579,small town
1014581,small town
1014582,small town
1014583,small town
1014584,town
1014585,small town
1014586,small town
1014588,small town
1014589,small town
1014592,small town
1014593,small town
1014594,small town
1014595,small town
1014596,small town
1014597,small town
1014598,small town
1014599,small town
1014600,small town
1014601,small town
1014602,large town
1014603,small town
1014608,small town
1014609,small town
1014611,large town
1014612,small town
1014614,small town
1014615,small town
1014616,small town
1014618,small town
1014619,small town
1014620,small town
1014621,small town
1014622,small town
1014625,small town
1014626,small town
1014627,small town
1014628,small town
1014629,small town
1014632,small town
1014633,small town
1014634,small town
1014638,small town
1014640,small town
1014642,small town
1014643,small town
1014644,small town
1014645,small town
1014646,small town
1014647,small town
1014649,small town
1014650,small town
1014651,large town
1014652,town
1014653,small town
1014654,town
1014655,small town
1014657,small town
1014660,small town
1014661,small town
1014663,small town
1014664,town
1014665,small town
1014666,town
1014669,small town
1014670,small town
1014671,town
1014672,small town
1014674,small town
1014675,town
1014676,small town
1014677,small town
1014678,town
1014679,city
1014680,small town
1014681,large town
1014683,small town
1014684,small town
1014685,small town
1014686,small town
1014687,small town
1014688,small town
1014691,small town
1014692,town
1014693,small town
1014694,small town
1014696,small town
1014698,small town
1014699,small town
1014702,small town
1014703,small town
1014704,large town
1014706,town
1014709,small town
1014713,small town
1014714,small town
1014716,large town
1014718,town
1014720,town
1014721,small town
1014722,small town
1014723,small town
1014724,small town
1014725,town
1014726,small town
1014727,large town
1014729,town
1014733,town
1014734,small town
1014735,small town
1014737,large town
1014740,small town
1014741,large town
1014742,small town
1014743,city
1014744,small town
1014746,small town
1014750,small town
1014751,small town
1014754,small town
1014755,small town
1014760,small town
1014761,large town
1014762,small town
1014763,small town
1014764,town
1014765,large town
1014767,town
1014768,town
1014771,small town
1014773,town
1014774,large town
1014775,town
1014776,small town
1014777,small town
1014778,city
1014779,town
1014780,town
1014781,town
1014784,small town
1014785,small town
1014790,town
